Job_Id,Job_role,Skill,Job descriptions ,Keywords,Combined_Text,cleaned_text
Jd001,Datascientist,"Python,Machinelearning,Powerbi,Dataanalysis,Pandas,Numpy,Matplotlib,Statistics,Sql,Modelevaluation","We are seeking a skilled Data Scientist to join our analytics team. The ideal candidate will design data-driven models, apply machine learning techniques, and extract insights to support critical business decisions. You will collaborate with product and engineering teams to transform raw data into predictive insights.","Data-Driven Models, Machine Learning, Insights, Business Decisions, Collaboration, Predictive Analytics, Data Transformation",datascientist we are seeking a skilled data scientist to join our analytics team the ideal candidate will design datadriven models apply machine learning techniques and extract insights to support critical business decisions you will collaborate with product and engineering teams to transform raw data into predictive insights,datascientist we are seeking a skilled data scientist to join our analytics team the ideal candidate will design datadriven models apply machine learning techniques and extract insights to support critical business decisions you will collaborate with product and engineering teams to transform raw data into predictive insights
Jd002,Pythondeveloper,"Python,Django,Flask,Restapis,Oops,Postgresql,Unittesting,Git,Json,Debugging","Join our engineering team as a Python Developer responsible for developing robust backend systems and APIs. Youll work with Django or Flask frameworks, integrate third-party services, and build scalable, secure applications for enterprise-grade platforms.","Python, Backend Development, Apis, Django, Flask, Integration, Secure Applications, Scalable Systems",pythondeveloper join our engineering team as a python developer responsible for developing robust backend systems and apis youll work with django or flask frameworks integrate thirdparty services and build scalable secure applications for enterprisegrade platforms,pythondeveloper join our engineering team as a python developer responsible for developing robust backend systems and apis youll work with django or flask frameworks integrate thirdparty services and build scalable secure applications for enterprisegrade platforms
Jd003,Fullstackdeveloper,"React,Node.Js,Mongodb,Javascript,Html,Css,Express.Js,Redux,Restapis,Deployment","We are hiring a Full Stack Developer proficient in both frontend and backend technologies. You will build dynamic web applications using React and Node.js, integrate APIs, and ensure responsive and high-performance user experiences across platforms.","Frontend, Backend, React, Node.Js, Dynamic Web Apps, Apis, Responsive Design, Cross-Platform",fullstackdeveloper we are hiring a full stack developer proficient in both frontend and backend technologies you will build dynamic web applications using react and nodejs integrate apis and ensure responsive and highperformance user experiences across platforms,fullstackdeveloper we are hiring a full stack developer proficient in both frontend and backend technologies you will build dynamic web applications using react and nodejs integrate apis and ensure responsive and highperformance user experiences across platforms
Jd004,Devopsengineer,"Jenkins,Docker,Kubernetes,Ci/Cd,Git,Ansible,Aws,Monitoring,Terraform,Shellscripting","We are looking for a DevOps Engineer to manage our CI/CD pipelines, containerization, and cloud infrastructure. You will automate deployment processes, monitor system performance, and collaborate with development teams to deliver highly available services.","Devops, Ci/Cd, Containerization, Cloud Infrastructure, Automation, Deployment, Monitoring, High Availability",devopsengineer we are looking for a devops engineer to manage our cicd pipelines containerization and cloud infrastructure you will automate deployment processes monitor system performance and collaborate with development teams to deliver highly available services,devopsengineer we are looking for a devops engineer to manage our cicd pipelines containerization and cloud infrastructure you will automate deployment processes monitor system performance and collaborate with development teams to deliver highly available services
Jd005,Cloudengineer,"Aws,Ec2,S3,Lambda,Iam,Cloudformation,Terraform,Devops,Vpc,Monitoring","Seeking a Cloud Engineer with experience in AWS or Azure to design and manage cloud-based architectures. Responsibilities include provisioning services, configuring network security, automating workflows, and ensuring cost-effective cloud operations.","Cloud, Aws, Azure, Architecture, Provisioning, Network Security, Automation, Workflow, Cost Optimization",cloudengineer seeking a cloud engineer with experience in aws or azure to design and manage cloudbased architectures responsibilities include provisioning services configuring network security automating workflows and ensuring costeffective cloud operations,cloudengineer seeking a cloud engineer with experience in aws or azure to design and manage cloudbased architectures responsibilities include provisioning services configuring network security automating workflows and ensuring costeffective cloud operations
Jd006,Frontenddeveloper,"Html,Css,Javascript,React.Js,Responsivedesign,Ui/Ux,Figma,Bootstrap,Dom,Git","We are hiring a Frontend Developer who excels in building intuitive, responsive web interfaces using React.js or Angular. You'll work closely with UI/UX teams to transform wireframes into high-quality user experiences optimized for all devices.","Frontend, React.Js, Angular, Ui/Ux, Responsive Design, Web Interfaces, Cross-Device Compatibility",frontenddeveloper we are hiring a frontend developer who excels in building intuitive responsive web interfaces using reactjs or angular youll work closely with uiux teams to transform wireframes into highquality user experiences optimized for all devices,frontenddeveloper we are hiring a frontend developer who excels in building intuitive responsive web interfaces using reactjs or angular youll work closely with uiux teams to transform wireframes into highquality user experiences optimized for all devices
Jd007,Backenddeveloper,"Java,Springboot,Mysql,Restapis,Mvc,Hibernate,Security,Postgresql,Unittesting,Apiintegration","We are looking for a Backend Developer to build APIs, manage databases, and implement server-side logic. You will use Java, Spring Boot, or Python frameworks to support large-scale, high-concurrency applications with secure data handling.","Backend, Apis, Databases, Server-Side Logic, Java, Spring Boot, Python, High-Concurrency, Security",backenddeveloper we are looking for a backend developer to build apis manage databases and implement serverside logic you will use java spring boot or python frameworks to support largescale highconcurrency applications with secure data handling,backenddeveloper we are looking for a backend developer to build apis manage databases and implement serverside logic you will use java spring boot or python frameworks to support largescale highconcurrency applications with secure data handling
Jd008,Machinelearningengineer,"Python,Tensorflow,Scikit-Learn,Modeldeployment,Numpy,Pandas,Mlalgorithms,Cloudml,Datacleaning,Hyperparametertuning","We are seeking a Machine Learning Engineer to design, train, and deploy ML models into production. You will work with large datasets, optimize algorithms, and collaborate with data scientists to build intelligent systems that drive automation and personalization.","Machine Learning, Model Training, Production Deployment, Algorithms, Large Datasets, Deep Learning, Optimization",machinelearningengineer we are seeking a machine learning engineer to design train and deploy ml models into production you will work with large datasets optimize algorithms and collaborate with data scientists to build intelligent systems that drive automation and personalization,machinelearningengineer we are seeking a machine learning engineer to design train and deploy ml models into production you will work with large datasets optimize algorithms and collaborate with data scientists to build intelligent systems that drive automation and personalization
Jd009,Dataanalyst,"Sql,Excel,Tableau,Powerbi,Datacleaning,Datavisualization,Pivottables,Python,Reporting,Dax","We are hiring a Data Analyst to collect, clean, and analyze business data. You will generate reports and dashboards using Excel, Power BI, or Tableau and help stakeholders make informed decisions based on actionable insights and KPIs.","Data Collection, Data Cleaning, Reporting, Dashboards, Power Bi, Tableau, Excel, Kpis, Analytics",dataanalyst we are hiring a data analyst to collect clean and analyze business data you will generate reports and dashboards using excel power bi or tableau and help stakeholders make informed decisions based on actionable insights and kpis,dataanalyst we are hiring a data analyst to collect clean and analyze business data you will generate reports and dashboards using excel power bi or tableau and help stakeholders make informed decisions based on actionable insights and kpis
Jd010,Cybersecurityanalyst,"Cybersecurity,Ethicalhacking,Firewalls,Networksecurity,Siem,Threatdetection,Pentesting,Nmap,Encryption,Ids","Looking for a Cybersecurity Analyst to monitor security incidents, assess vulnerabilities, and implement protection strategies. You will work with SIEM tools, conduct audits, and support regulatory compliance to ensure enterprise-level data security.","Cybersecurity, Incident Monitoring, Vulnerability Assessment, Siem Tools, Risk Management, Audits, Compliance",cybersecurityanalyst looking for a cybersecurity analyst to monitor security incidents assess vulnerabilities and implement protection strategies you will work with siem tools conduct audits and support regulatory compliance to ensure enterpriselevel data security,cybersecurityanalyst looking for a cybersecurity analyst to monitor security incidents assess vulnerabilities and implement protection strategies you will work with siem tools conduct audits and support regulatory compliance to ensure enterpriselevel data security
